2021/05/21 13:43:04| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:804::200d]: (101) Network is unreachable
2021/05/21 13:43:06| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:800::2004]: (101) Network is unreachable
2021/05/21 13:43:23| SendEcho ERROR: sending to ICMPv6 packet to [2a03:90c0:9996::9996]: (101) Network is unreachable
2021/05/21 13:43:24| SendEcho ERROR: sending to ICMPv6 packet to [2600:1901:0:2453::]: (101) Network is unreachable
2021/05/21 13:43:25| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:803::2003]: (101) Network is unreachable
2021/05/21 13:43:25| SendEcho ERROR: sending to ICMPv6 packet to [2600:9000:20a4:9200:4:cd76:8580:93a1]: (101) Network is unreachable
2021/05/21 13:43:26| SendEcho ERROR: sending to ICMPv6 packet to [2606:4700:3031::ac43:8f3a]: (101) Network is unreachable
2021/05/21 13:43:26| SendEcho ERROR: sending to ICMPv6 packet to [2606:4700::6812:678]: (101) Network is unreachable
2021/05/21 13:43:33| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:811::200a]: (101) Network is unreachable
2021/05/21 13:43:33| SendEcho ERROR: sending to ICMPv6 packet to [2606:4700:3033::6815:1b9d]: (101) Network is unreachable
2021/05/21 13:43:35| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:400c:c0c::9d]: (101) Network is unreachable
2021/05/21 13:43:35| SendEcho ERROR: sending to ICMPv6 packet to [2606:4700:10::6814:b944]: (101) Network is unreachable
2021/05/21 13:43:42| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:80d::200a]: (101) Network is unreachable
2021/05/21 13:43:47| SendEcho ERROR: sending to ICMPv6 packet to [2620:1ec:c11::200]: (101) Network is unreachable
2021/05/21 13:44:10| SendEcho ERROR: sending to ICMPv6 packet to [2607:f8b0:4008:813::2003]: (101) Network is unreachable
2021/05/21 13:45:07 kid1| Preparing for shutdown after 22 requests
2021/05/21 13:45:07 kid1| Waiting 30 seconds for active connections to finish
2021/05/21 13:45:07 kid1| Closing HTTP(S) port [::]:3128
2021/05/21 13:45:07 kid1| Closing HTTP(S) port [::]:8080
2021/05/21 13:45:07 kid1| Closing Pinger socket on FD 15
2021/05/21 13:45:16| Pinger exiting.
2021/05/21 13:45:38 kid1| Shutdown: NTLM authentication.
2021/05/21 13:45:38 kid1| Shutdown: Negotiate authentication.
2021/05/21 13:45:38 kid1| Shutdown: Digest authentication.
2021/05/21 13:45:38 kid1| Shutdown: Basic authentication.
2021/05/21 13:45:38 kid1| Shutting down...
2021/05/21 13:45:38 kid1| storeDirWriteCleanLogs: Starting...
2021/05/21 13:45:38 kid1|   Finished.  Wrote 0 entries.
2021/05/21 13:45:38 kid1|   Took 0.00 seconds (  0.00 entries/sec).
CPU Usage: 28.162 seconds = 25.199 user + 2.963 sys
Maximum Resident Size: 3725392 KB
Page faults with physical i/o: 0
2021/05/21 13:45:38 kid1| Logfile: closing log daemon:/var/log/squid/access.log
2021/05/21 13:45:38 kid1| Logfile Daemon: closing log daemon:/var/log/squid/access.log
2021/05/21 13:45:38 kid1| Open FD UNSTARTED    10 IPC UNIX STREAM Parent
2021/05/21 13:45:38 kid1| Squid Cache (Version 4.6): Exiting normally.
2021/05/21 13:45:38| Removing PID file (/var/run/squid.pid)
2021/05/21 13:45:43| Created PID file (/var/run/squid.pid)
2021/05/21 13:45:47 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:45:47 kid1| Creating missing swap directories
2021/05/21 13:45:47 kid1| No cache_dir stores are configured.
2021/05/21 13:45:47| Removing PID file (/var/run/squid.pid)
2021/05/21 13:45:51| Created PID file (/var/run/squid.pid)
2021/05/21 13:45:55 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:45:55 kid1| Starting Squid Cache version 4.6 for x86_64-pc-linux-gnu...
2021/05/21 13:45:55 kid1| Service Name: squid
2021/05/21 13:45:55 kid1| Process ID 2295
2021/05/21 13:45:55 kid1| Process Roles: worker
2021/05/21 13:45:55 kid1| With 1024 file descriptors available
2021/05/21 13:45:55 kid1| Initializing IP Cache...
2021/05/21 13:45:55 kid1| DNS Socket created at [::], FD 5
2021/05/21 13:45:55 kid1| DNS Socket created at 0.0.0.0, FD 9
2021/05/21 13:45:55 kid1| Adding nameserver 179.51.50.202 from /etc/resolv.conf
2021/05/21 13:45:55 kid1| Adding nameserver 179.51.50.203 from /etc/resolv.conf
2021/05/21 13:45:55 kid1| Logfile: opening log daemon:/var/log/squid/access.log
2021/05/21 13:45:55 kid1| Logfile Daemon: opening log /var/log/squid/access.log
2021/05/21 13:45:55 kid1| Local cache digest enabled; rebuild/rewrite every 3600/3600 sec
2021/05/21 13:45:55 kid1| Store logging disabled
2021/05/21 13:45:55 kid1| Swap maxSize 0 + 262144 KB, estimated 20164 objects
2021/05/21 13:45:55 kid1| Target number of buckets: 1008
2021/05/21 13:45:55 kid1| Using 8192 Store buckets
2021/05/21 13:45:55 kid1| Max Mem  size: 262144 KB
2021/05/21 13:45:55 kid1| Max Swap size: 0 KB
2021/05/21 13:45:55 kid1| Using Least Load store dir selection
2021/05/21 13:45:55 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:45:55 kid1| Finished loading MIME types and icons.
2021/05/21 13:45:55 kid1| HTCP Disabled.
2021/05/21 13:45:55 kid1| Pinger socket opened on FD 15
2021/05/21 13:45:55 kid1| Squid plugin modules loaded: 0
2021/05/21 13:45:55 kid1| Adaptation support is off.
2021/05/21 13:45:55 kid1| Accepting HTTP Socket connections at local=[::]:3128 remote=[::] FD 12 flags=9
2021/05/21 13:45:55 kid1| Accepting HTTP Socket connections at local=[::]:8080 remote=[::] FD 13 flags=9
2021/05/21 13:45:55| pinger: Initialising ICMP pinger ...
2021/05/21 13:45:55| pinger: ICMP socket opened.
2021/05/21 13:45:55| pinger: ICMPv6 socket opened
2021/05/21 13:45:56 kid1| storeLateRelease: released 0 objects
2021/05/21 13:49:22 kid1| Preparing for shutdown after 132 requests
2021/05/21 13:49:22 kid1| Waiting 30 seconds for active connections to finish
2021/05/21 13:49:22 kid1| Closing HTTP(S) port [::]:3128
2021/05/21 13:49:22 kid1| Closing HTTP(S) port [::]:8080
2021/05/21 13:49:22 kid1| Closing Pinger socket on FD 15
2021/05/21 13:49:34| Pinger exiting.
2021/05/21 13:49:53 kid1| Shutdown: NTLM authentication.
2021/05/21 13:49:53 kid1| Shutdown: Negotiate authentication.
2021/05/21 13:49:53 kid1| Shutdown: Digest authentication.
2021/05/21 13:49:53 kid1| Shutdown: Basic authentication.
2021/05/21 13:49:53 kid1| Shutting down...
2021/05/21 13:49:53 kid1| storeDirWriteCleanLogs: Starting...
2021/05/21 13:49:53 kid1|   Finished.  Wrote 0 entries.
2021/05/21 13:49:53 kid1|   Took 0.00 seconds (  0.00 entries/sec).
CPU Usage: 37.222 seconds = 33.941 user + 3.280 sys
Maximum Resident Size: 3818464 KB
Page faults with physical i/o: 0
2021/05/21 13:49:53 kid1| Logfile: closing log daemon:/var/log/squid/access.log
2021/05/21 13:49:53 kid1| Logfile Daemon: closing log daemon:/var/log/squid/access.log
2021/05/21 13:49:53 kid1| Open FD UNSTARTED    10 IPC UNIX STREAM Parent
2021/05/21 13:49:53 kid1| Squid Cache (Version 4.6): Exiting normally.
2021/05/21 13:49:53| Removing PID file (/var/run/squid.pid)
2021/05/21 13:49:59| Created PID file (/var/run/squid.pid)
2021/05/21 13:50:05 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:50:05 kid1| Creating missing swap directories
2021/05/21 13:50:05 kid1| No cache_dir stores are configured.
2021/05/21 13:50:05| Removing PID file (/var/run/squid.pid)
2021/05/21 13:50:11| Created PID file (/var/run/squid.pid)
2021/05/21 13:50:15 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:50:15 kid1| Starting Squid Cache version 4.6 for x86_64-pc-linux-gnu...
2021/05/21 13:50:15 kid1| Service Name: squid
2021/05/21 13:50:15 kid1| Process ID 2331
2021/05/21 13:50:15 kid1| Process Roles: worker
2021/05/21 13:50:15 kid1| With 1024 file descriptors available
2021/05/21 13:50:15 kid1| Initializing IP Cache...
2021/05/21 13:50:15 kid1| DNS Socket created at [::], FD 5
2021/05/21 13:50:15 kid1| DNS Socket created at 0.0.0.0, FD 9
2021/05/21 13:50:15 kid1| Adding nameserver 179.51.50.202 from /etc/resolv.conf
2021/05/21 13:50:15 kid1| Adding nameserver 179.51.50.203 from /etc/resolv.conf
2021/05/21 13:50:15 kid1| Logfile: opening log daemon:/var/log/squid/access.log
2021/05/21 13:50:15 kid1| Logfile Daemon: opening log /var/log/squid/access.log
2021/05/21 13:50:15 kid1| Local cache digest enabled; rebuild/rewrite every 3600/3600 sec
2021/05/21 13:50:15 kid1| Store logging disabled
2021/05/21 13:50:15 kid1| Swap maxSize 0 + 262144 KB, estimated 20164 objects
2021/05/21 13:50:15 kid1| Target number of buckets: 1008
2021/05/21 13:50:15 kid1| Using 8192 Store buckets
2021/05/21 13:50:15 kid1| Max Mem  size: 262144 KB
2021/05/21 13:50:15 kid1| Max Swap size: 0 KB
2021/05/21 13:50:15 kid1| Using Least Load store dir selection
2021/05/21 13:50:15 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:50:15 kid1| Finished loading MIME types and icons.
2021/05/21 13:50:15 kid1| HTCP Disabled.
2021/05/21 13:50:15 kid1| Pinger socket opened on FD 15
2021/05/21 13:50:15 kid1| Squid plugin modules loaded: 0
2021/05/21 13:50:15 kid1| Adaptation support is off.
2021/05/21 13:50:15 kid1| Accepting HTTP Socket connections at local=[::]:3128 remote=[::] FD 12 flags=9
2021/05/21 13:50:15 kid1| Accepting HTTP Socket connections at local=[::]:8080 remote=[::] FD 13 flags=9
2021/05/21 13:50:15| pinger: Initialising ICMP pinger ...
2021/05/21 13:50:15| pinger: ICMP socket opened.
2021/05/21 13:50:15| pinger: ICMPv6 socket opened
2021/05/21 13:50:16 kid1| storeLateRelease: released 0 objects
2021/05/21 13:55:27 kid1| Preparing for shutdown after 92 requests
2021/05/21 13:55:27 kid1| Waiting 30 seconds for active connections to finish
2021/05/21 13:55:27 kid1| Closing HTTP(S) port [::]:3128
2021/05/21 13:55:27 kid1| Closing HTTP(S) port [::]:8080
2021/05/21 13:55:27 kid1| Closing Pinger socket on FD 15
2021/05/21 13:55:34| Pinger exiting.
2021/05/21 13:55:58 kid1| Shutdown: NTLM authentication.
2021/05/21 13:55:58 kid1| Shutdown: Negotiate authentication.
2021/05/21 13:55:58 kid1| Shutdown: Digest authentication.
2021/05/21 13:55:58 kid1| Shutdown: Basic authentication.
2021/05/21 13:55:58 kid1| Shutting down...
2021/05/21 13:55:58 kid1| storeDirWriteCleanLogs: Starting...
2021/05/21 13:55:58 kid1|   Finished.  Wrote 0 entries.
2021/05/21 13:55:58 kid1|   Took 0.00 seconds (  0.00 entries/sec).
CPU Usage: 26.108 seconds = 22.682 user + 3.426 sys
Maximum Resident Size: 3640160 KB
Page faults with physical i/o: 0
2021/05/21 13:55:58 kid1| Logfile: closing log daemon:/var/log/squid/access.log
2021/05/21 13:55:58 kid1| Logfile Daemon: closing log daemon:/var/log/squid/access.log
2021/05/21 13:55:58 kid1| Open FD UNSTARTED    10 IPC UNIX STREAM Parent
2021/05/21 13:55:58 kid1| Squid Cache (Version 4.6): Exiting normally.
2021/05/21 13:55:58| Removing PID file (/var/run/squid.pid)
2021/05/21 13:56:08| Created PID file (/var/run/squid.pid)
2021/05/21 13:56:18 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:56:18 kid1| Creating missing swap directories
2021/05/21 13:56:18 kid1| No cache_dir stores are configured.
2021/05/21 13:56:18| Removing PID file (/var/run/squid.pid)
2021/05/21 13:56:27| Created PID file (/var/run/squid.pid)
2021/05/21 13:56:41 kid1| Set Current Directory to /var/spool/squid
2021/05/21 13:56:41 kid1| Starting Squid Cache version 4.6 for x86_64-pc-linux-gnu...
2021/05/21 13:56:41 kid1| Service Name: squid
2021/05/21 13:56:41 kid1| Process ID 2382
2021/05/21 13:56:41 kid1| Process Roles: worker
2021/05/21 13:56:41 kid1| With 1024 file descriptors available
